2025-04-05 18:15:11 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:17:13 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:17:13 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:17:14 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./P/exp\model_0.pth
2025-04-05 18:17:15 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:17:20 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 6.664394954847178, 'mae': 1.9137315145700518, 'r2': 0.613644969920145, 'spearmanr': 0.8022506299279043, 'pearsonr': 0.8195317048662434}
2025-04-05 18:17:20 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:17:21 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-04-05 18:17:21 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 96.77% of molecules.
2025-04-05 18:17:21 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [12]
2025-04-05 18:17:21 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:17:21 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 18:17:23 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:17:24 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:17:24 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./P/exp\model_0.pth
2025-04-05 18:17:25 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:17:25 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 7.591525093288835, 'mae': 2.180567218411354, 'r2': 0.7255028197866427, 'spearmanr': 0.870750031097406, 'pearsonr': 0.8885181569140036}
2025-04-05 18:18:22 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:18:34 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 99.82% of molecules.
2025-04-05 18:18:34 | unimol_tools\data\conformer.py | 429 | INFO | Uni-Mol Tools | Failed conformers indices: [979, 1039]
2025-04-05 18:18:34 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 99.09% of molecules.
2025-04-05 18:18:34 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [5, 28, 395, 470, 650, 964, 970, 979, 1031, 1039]
2025-04-05 18:18:34 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:18:34 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 18:18:36 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:18:36 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:18:37 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./H/exp\model_0.pth
2025-04-05 18:18:37 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:19:03 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 0.1337683938397104, 'mae': 0.1845986272041896, 'r2': 0.9960544661907405, 'spearmanr': 0.9988273115302883, 'pearsonr': 0.9981326487982223}
2025-04-05 18:19:03 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:19:05 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-04-05 18:19:05 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 97.81% of molecules.
2025-04-05 18:19:05 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [8, 24, 81, 144, 208, 217]
2025-04-05 18:19:05 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:19:05 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 18:19:08 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:19:08 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:19:09 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./H/exp\model_0.pth
2025-04-05 18:19:10 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:19:15 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 2.9352215710430682, 'mae': 1.118224549880863, 'r2': 0.8518250104185392, 'spearmanr': 0.918175138710972, 'pearsonr': 0.9270372356198808}
2025-04-05 18:19:15 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:19:16 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-04-05 18:19:16 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 96.77% of molecules.
2025-04-05 18:19:16 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [12]
2025-04-05 18:19:16 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:19:16 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 18:19:18 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:19:19 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:19:19 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./H/exp\model_0.pth
2025-04-05 18:19:20 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:19:20 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 2.03292165794779, 'mae': 1.0427361392301895, 'r2': 0.9625490695142098, 'spearmanr': 0.9409986067909386, 'pearsonr': 0.983569625084171}
